"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"767.0","0.0000","0.0000e+000","54.4",
"768.0","0.0000","0.0000e+000","54.5",
"769.0","0.0000","0.0000e+000","54.4",
"770.0","0.0000","0.0000e+000","54.0",
"771.0","0.0000","0.0000e+000","54.6",
"772.0","0.0000","0.0000e+000","55.0",
"773.0","0.0000","0.0000e+000","54.4",
"774.0","0.0000","0.0000e+000","54.6",
"775.0","0.0000","0.0000e+000","54.4",
"776.0","0.0000","0.0000e+000","54.5",
"777.0","0.0015","6.4948e-004","55.5",
"778.0","0.0010","4.6395e-004","55.4",
"779.0","0.0000","0.0000e+000","54.9",
"780.0","0.0000","0.0000e+000","54.4",
"781.0","0.0000","0.0000e+000","54.5",
"782.0","0.0017","7.3962e-004","55.6",
"783.0","0.0012","5.2835e-004","55.4",
"784.0","0.0000","0.0000e+000","53.8",
"785.0","0.0000","0.0000e+000","54.1",
"786.0","0.0000","0.0000e+000","54.4",
"787.0","0.0000","0.0000e+000","54.0",
"788.0","0.0000","0.0000e+000","54.0",
"789.0","0.0017","7.5587e-004","55.1",
"790.0","0.0012","5.3995e-004","54.7",
"791.0","0.0000","0.0000e+000","54.5",
"792.0","0.0000","0.0000e+000","54.4",
"793.0","0.0000","3.4043e-006","54.6",
"794.0","0.0000","2.4319e-006","55.0",
"795.0","0.0000","0.0000e+000","54.9",
"796.0","0.0021","9.2619e-004","55.5",
"797.0","0.0037","1.6325e-003","56.0",
"798.0","0.0060","2.6937e-003","56.5",
"799.0","0.0077","3.4502e-003","57.0",
"800.0","0.0033","1.4821e-003","55.8",
