"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"694.0","0.0236","2.9971e-003","169.2",
"695.0","0.0232","2.9550e-003","164.1",
"696.0","0.0226","2.8753e-003","157.9",
"697.0","0.0225","2.8567e-003","153.9",
"698.0","0.0218","2.7755e-003","148.4",
"699.0","0.0211","2.6854e-003","142.8",
"700.0","0.0209","2.6528e-003","139.4",
"701.0","0.0200","2.5411e-003","133.9",
"702.0","0.0195","2.4753e-003","129.8",
"703.0","0.0197","2.5088e-003","129.0",
"704.0","0.0192","2.4436e-003","125.6",
"705.0","0.0183","2.3315e-003","120.7",
"706.0","0.0180","2.2847e-003","117.8",
"707.0","0.0175","2.2221e-003","114.8",
"708.0","0.0164","2.0846e-003","110.1",
"709.0","0.0159","2.0264e-003","107.5",
"710.0","0.0158","2.0045e-003","105.9",
"711.0","0.0150","1.9134e-003","102.7",
"712.0","0.0149","1.8926e-003","101.1",
"713.0","0.0148","1.8807e-003","99.9",
"714.0","0.0148","1.8791e-003","99.0",
"715.0","0.0145","1.8415e-003","97.3",
"716.0","0.0139","1.7666e-003","94.8",
"717.0","0.0132","1.6839e-003","92.3",
"718.0","0.0130","1.6528e-003","91.0",
"719.0","0.0128","1.6315e-003","89.9",
"720.0","0.0126","1.5969e-003","88.4",
"721.0","0.0121","1.5394e-003","86.8",
"722.0","0.0120","1.5234e-003","86.0",
"723.0","0.0114","1.4505e-003","84.2",
"724.0","0.0112","1.4198e-003","83.0",
"725.0","0.0109","1.3886e-003","81.9",
"726.0","0.0122","1.5459e-003","84.0",
"727.0","0.0114","1.4457e-003","82.0",
"728.0","0.0099","1.2592e-003","78.4",
"729.0","0.0094","1.1907e-003","76.9",
"730.0","0.0094","1.1996e-003","76.6",
"731.0","0.0098","1.2496e-003","77.0",
"732.0","0.0088","1.1158e-003","74.7",
"733.0","0.0087","1.1043e-003","74.1",
"734.0","0.0091","1.1523e-003","74.4",
"735.0","0.0080","1.0204e-003","72.3",
"736.0","0.0075","9.5317e-004","71.0",
"737.0","0.0074","9.3448e-004","70.5",
"738.0","0.0079","1.0092e-003","71.2",
"739.0","0.0090","1.1413e-003","72.6",
"740.0","0.0075","9.5986e-004","70.1",
"741.0","0.0064","8.0764e-004","68.0",
"742.0","0.0073","9.2332e-004","69.2",
"743.0","0.0099","1.2557e-003","73.0",
"744.0","0.0082","1.0487e-003","70.4",
"745.0","0.0074","9.4143e-004","68.8",
"746.0","0.0084","1.0689e-003","70.0",
"747.0","0.0069","8.7854e-004","67.7",
"748.0","0.0062","7.9379e-004","66.6",
"749.0","0.0062","7.9353e-004","66.4",
"750.0","0.0056","7.1586e-004","65.5",
"751.0","0.0050","6.3248e-004","64.5",
"752.0","0.0047","6.0316e-004","64.0",
"753.0","0.0048","6.1092e-004","64.0",
"754.0","0.0049","6.2277e-004","64.0",
"755.0","0.0045","5.7427e-004","63.4",
"756.0","0.0038","4.8617e-004","62.5",
"757.0","0.0035","4.4972e-004","62.1",
"758.0","0.0047","5.9270e-004","63.2",
"759.0","0.0044","5.6201e-004","62.9",
"760.0","0.0032","4.0464e-004","61.4",
"761.0","0.0040","5.0552e-004","62.2",
"762.0","0.0037","4.7448e-004","61.9",
"763.0","0.0024","3.0290e-004","60.4",
"764.0","0.0020","2.5988e-004","60.0",
"765.0","0.0039","4.9738e-004","61.8",
"766.0","0.0034","4.3617e-004","61.3",
"767.0","0.0021","2.7265e-004","60.0",
"768.0","0.0028","3.6177e-004","60.6",
"769.0","0.0027","3.4691e-004","60.5",
"770.0","0.0043","5.4149e-004","61.8",
"771.0","0.0044","5.5853e-004","61.8",
"772.0","0.0070","8.9019e-004","63.9",
"773.0","0.0047","5.9589e-004","61.9",
"774.0","0.0012","1.5733e-004","59.0",
"775.0","0.0020","2.5957e-004","59.6",
"776.0","0.0033","4.1966e-004","60.6",
"777.0","0.0039","4.9914e-004","61.1",
"778.0","0.0025","3.1266e-004","59.9",
"779.0","0.0006","7.5894e-005","58.5",
"780.0","0.0008","1.0666e-004","58.6",
"781.0","0.0014","1.8051e-004","59.0",
"782.0","0.0014","1.8380e-004","59.0",
"783.0","0.0015","1.9159e-004","59.0",
"784.0","0.0015","1.9276e-004","59.0",
"785.0","0.0007","8.5051e-005","58.5",
"786.0","0.0055","6.9552e-004","61.6",
"787.0","0.0039","4.9949e-004","60.6",
"788.0","0.0010","1.2963e-004","58.6",
"789.0","0.0074","9.3733e-004","62.5",
"790.0","0.0048","6.1099e-004","60.9",
"791.0","0.0010","1.2688e-004","58.6",
"792.0","0.0017","2.2054e-004","59.0",
"793.0","0.0007","9.4795e-005","58.4",
"794.0","0.0000","5.1671e-006","58.0",
"795.0","0.0000","3.6911e-006","58.0",
"796.0","0.0012","1.5047e-004","58.6",
"797.0","0.0008","1.0749e-004","57.9",
"798.0","0.0001","1.0453e-005","57.6",
"799.0","0.0023","2.9770e-004","59.2",
"800.0","0.0017","2.1884e-004","58.9",
