"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"664.0","0.0879","1.6299e-002","3139.8",
"665.0","0.0784","1.4534e-002","2769.9",
"666.0","0.0702","1.3005e-002","2485.6",
"667.0","0.0639","1.1839e-002","2285.7",
"668.0","0.0588","1.0897e-002","2168.8",
"669.0","0.0548","1.0157e-002","2125.3",
"670.0","0.0520","9.6307e-003","2139.5",
"671.0","0.0499","9.2457e-003","2195.8",
"672.0","0.0486","9.0120e-003","2300.2",
"673.0","0.0480","8.8892e-003","2432.2",
"674.0","0.0473","8.7731e-003","2565.9",
"675.0","0.0476","8.8314e-003","2713.4",
"676.0","0.0485","8.9931e-003","2870.3",
"677.0","0.0499","9.2510e-003","3036.5",
"678.0","0.0514","9.5266e-003","3173.3",
"679.0","0.0531","9.8360e-003","3290.3",
"680.0","0.0553","1.0242e-002","3391.8",
"681.0","0.0579","1.0737e-002","3496.5",
"682.0","0.0607","1.1261e-002","3588.8",
"683.0","0.0639","1.1851e-002","3668.2",
"684.0","0.0673","1.2484e-002","3737.0",
"685.0","0.0717","1.3295e-002","3833.2",
"686.0","0.0765","1.4174e-002","3925.0",
"687.0","0.0810","1.5008e-002","4007.3",
"688.0","0.0861","1.5961e-002","4100.4",
"689.0","0.0915","1.6960e-002","4210.8",
"690.0","0.0975","1.8076e-002","4326.0",
"691.0","0.1041","1.9294e-002","4443.9",
"692.0","0.1116","2.0686e-002","4589.5",
"693.0","0.1190","2.2054e-002","4735.4",
"694.0","0.1265","2.3457e-002","4874.8",
"695.0","0.1349","2.5005e-002","5029.3",
"696.0","0.1445","2.6782e-002","5206.7",
"697.0","0.1547","2.8682e-002","5390.7",
"698.0","0.1645","3.0500e-002","5558.5",
"699.0","0.1753","3.2488e-002","5736.5",
"700.0","0.1866","3.4592e-002","5936.0",
"701.0","0.1984","3.6780e-002","6138.9",
"702.0","0.2111","3.9140e-002","6346.2",
"703.0","0.2240","4.1515e-002","6563.8",
"704.0","0.2368","4.3898e-002","6776.3",
"705.0","0.2515","4.6624e-002","6999.5",
"706.0","0.2668","4.9456e-002","7226.4",
"707.0","0.2828","5.2426e-002","7474.2",
"708.0","0.2984","5.5320e-002","7718.6",
"709.0","0.3154","5.8474e-002","7966.0",
"710.0","0.3317","6.1480e-002","8195.1",
"711.0","0.3485","6.4595e-002","8414.0",
"712.0","0.3675","6.8131e-002","8645.5",
"713.0","0.3856","7.1482e-002","8871.0",
"714.0","0.4032","7.4742e-002","9098.1",
"715.0","0.4224","7.8300e-002","9300.5",
"716.0","0.4415","8.1835e-002","9506.9",
"717.0","0.4622","8.5674e-002","9718.8",
"718.0","0.4775","8.8519e-002","9861.4",
"719.0","0.4963","9.1999e-002","10009.5",
"720.0","0.5167","9.5788e-002","10168.9",
"721.0","0.5330","9.8798e-002","10304.7",
"722.0","0.5504","1.0202e-001","10439.7",
"723.0","0.5670","1.0511e-001","10584.9",
"724.0","0.5867","1.0876e-001","10685.3",
"725.0","0.6072","1.1255e-001","10767.9",
"726.0","0.6239","1.1566e-001","10844.5",
"727.0","0.6374","1.1815e-001","10904.9",
"728.0","0.6549","1.2140e-001","10971.3",
"729.0","0.6725","1.2466e-001","10997.1",
"730.0","0.6863","1.2722e-001","10988.8",
"731.0","0.6994","1.2964e-001","10980.9",
"732.0","0.7104","1.3169e-001","10953.4",
"733.0","0.7202","1.3350e-001","10873.1",
"734.0","0.7307","1.3544e-001","10751.6",
"735.0","0.7331","1.3590e-001","10591.5",
"736.0","0.7394","1.3707e-001","10431.7",
"737.0","0.7403","1.3723e-001","10207.0",
"738.0","0.7314","1.3559e-001","9903.1",
"739.0","0.7237","1.3416e-001","9599.4",
"740.0","0.7075","1.3115e-001","9216.0",
"741.0","0.6876","1.2745e-001","8797.1",
"742.0","0.6662","1.2349e-001","8343.3",
"743.0","0.6364","1.1797e-001","7856.7",
"744.0","0.6059","1.1231e-001","7369.3",
"745.0","0.5770","1.0696e-001","6866.2",
"746.0","0.5422","1.0050e-001","6319.2",
"747.0","0.5071","9.3995e-002","5778.2",
"748.0","0.4684","8.6825e-002","5274.5",
"749.0","0.4319","8.0055e-002","4772.4",
"750.0","0.3963","7.3466e-002","4298.3",
"751.0","0.3614","6.6997e-002","3847.0",
"752.0","0.3281","6.0813e-002","3427.1",
"753.0","0.2954","5.4752e-002","3046.5",
"754.0","0.2665","4.9409e-002","2696.7",
"755.0","0.2413","4.4736e-002","2397.2",
"756.0","0.2155","3.9954e-002","2104.4",
"757.0","0.1926","3.5695e-002","1843.6",
"758.0","0.1736","3.2187e-002","1630.9",
"759.0","0.1545","2.8633e-002","1429.8",
"760.0","0.1374","2.5463e-002","1254.8",
"761.0","0.1220","2.2617e-002","1095.4",
"762.0","0.1074","1.9905e-002","955.5",
"763.0","0.0952","1.7640e-002","845.0",
"764.0","0.0851","1.5779e-002","744.6",
"765.0","0.0760","1.4092e-002","654.4",
"766.0","0.0674","1.2485e-002","575.2",
"767.0","0.0591","1.0958e-002","503.5",
"768.0","0.0527","9.7726e-003","447.6",
